연번,업소명,소  재  지,연락처,객실수,한실,양실,트윈베드,일반호텔
43,호텔엘리시아, 달서구 갈밭남로 45(대곡동),053-625-9100,61,,35,26,일반호텔
44,유니드호텔, 달서구 이곡서로 86(이곡동), 053-584-0039,51,,40,11,일반호텔
45,탑호텔, 달서구 이곡동로 7(이곡동), 053-582-3319,92,,68,24,일반호텔
46,브라운도트호텔대구성서점, 달서구 성서공단로11길 64-5(호산동),053-592-3616,36,2,30,4,일반호텔
47,제이비프리미엄호텔(JB PREMIUM HOTEL), 달서구 성서공단로11길 6-14(호림동),053-585-6922,34,,28,6,일반호텔
48,호텔김, 달서구 성서공단로11길 38-5(호산동),053-584-5550,36,,32,4,일반호텔
49,호텔야자대구성서점, 달서구 성서공단로15길 61(호산동),053-588-9400,32,,29,3,일반호텔
50,이월호텔 성서점, 달서구 달서대로95길 3(호산동),053-584-7833,40,,38,2,일반호텔
51,그리고(grigo), 달서구 달서대로91길 20(호산동),053-591-3377,36,,33,3,일반호텔
52,프렌치호텔, 달서구 달서대로91길 22(호산동),053-588-7219,36,,32,4,일반호텔
53,오월, 달서구 성서공단로15길 36(호림동),053-592-6262,35,,29,6,일반호텔
54,스위트호텔, 달서구 성서공단로11길 38-3(호림동),053-584-3636,34,,26,8,
55,히어(HERE)호텔(HOTEL), 달서구 와룡로17길 18(본리동),053-561-7118,38,,36,2,일반호텔
56,터치(Touch)모텔, 달서구 달서대로95길 23(호산동),053-593-3399,36,,28,8,
57,호텔대구, 달서구 두류공원로 244-1(두류동),053-657-1097,26,,24,2,
58,에이치호텔(H hotel), 달서구 달서대로95길 26(호산동),053-587-2977,31,,29,2,
59,초콜릿모텔, 달서구 성서공단로11길 12-2(호림동),053-593-5537,28,,20,8,
60,호텔시리즈SERIES2.8, 달서구 대명천로43길 24(본리동),053-521-2201,28,1,25,2,
61,시월모텔, 달서구 대명천로43길 18(본리동),053-552-0331,32,,31,1,
62,상록산장여관, 달성군 논공읍 비슬로 1054,053-615-1331,25,,24,1,
63,비너스모텔, 달성군 옥포읍 옥포로113길 3,053-261-5577,28,,27,1,
64,호텔 더디종, 달성군 현풍읍 테크노공원로 31,053-263-1515,47,,40,7,일반호텔
65,모텔 이너스, 달성군 옥포읍 비슬로457길 3,053-263-5688,21,3,15,3,
66,인썸니아, 중구 동성로2길 21-8(삼덕동1가),053-257-5553,35,,26,9,일반호텔
67,호텔라벨라, 중구 동성로4길 40-5(삼덕동1가),053-428-9992,45,,40,5,일반호텔
68,디알토, 북구 칠성남로 30길 34(칠성동2가),053-253-3000,57,1,53,3,
69,피크니크호텔, 수성구 지범로 28(두산동),053-766-3773,29,,28,1,
70,루오호텔, 수성구 알파시티1로4길 19-8(대흥동),053-217-6500,41,,41,,일반호텔
